GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
politician-ratings,com.qart.ploticalparties.service.impl,PoliticalLeaderServiceImpl,204,0,16,0,42,0,15,0,7,0
politician-ratings,com.qart.ploticalparties.service.impl,PoliticalPartyServiceImpl,131,0,8,0,30,0,10,0,6,0
politician-ratings,com.qart.ploticalparties.service.impl,DevelopmentServiceImpl,224,0,18,0,42,0,16,0,7,0
politician-ratings,com.qart.ploticalparties.exceptions,PoliticalPartyNotFoundException,3,4,0,0,2,2,1,1,1,1
politician-ratings,com.qart.ploticalparties.exceptions,DevelopmentNotFoundException,7,0,0,0,4,0,2,0,2,0
politician-ratings,com.qart.ploticalparties.exceptions,GlobalExceptionHandler,19,60,0,0,5,16,1,4,1,4
politician-ratings,com.qart.ploticalparties.exceptions,InvalidDataException,0,4,0,0,0,2,0,1,0,1
politician-ratings,com.qart.ploticalparties.exceptions,PoliticalLeaderNotFoundException,3,4,0,0,2,2,1,1,1,1
politician-ratings,com.qart.ploticalparties.model.exception,ExceptionResponse,129,21,30,0,37,8,21,4,6,4
politician-ratings,com.qart.ploticalparties.dto,PoliticalPartyDto,32,70,7,7,4,19,8,10,1,10
politician-ratings,com.qart.ploticalparties.dto,PoliticalLeaderDto,32,70,7,7,4,21,8,10,1,10
politician-ratings,com.qart.ploticalparties.dto,DevelopmentDto,52,122,11,11,4,33,12,18,1,18
politician-ratings,com.qart.ploticalparties.entity,PoliticalParty,31,0,0,0,13,0,9,0,9,0
politician-ratings,com.qart.ploticalparties.entity,PoliticalLeader,31,0,0,0,13,0,9,0,9,0
politician-ratings,com.qart.ploticalparties.entity,Development,59,0,0,0,25,0,17,0,17,0
politician-ratings,com.qart.ploticalparties.controller,PoliticalPartyController,0,62,0,4,0,16,0,8,0,6
politician-ratings,com.qart.ploticalparties.controller,PoliticalLeaderController,0,70,0,4,0,19,0,9,0,7
politician-ratings,com.qart.ploticalparties.controller,DevelopmentController,0,68,0,4,0,16,0,9,0,7
politician-ratings,com.qart.ploticalparties,PoliticianRatingsApplication,5,3,0,0,2,1,1,1,1,1
